Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
91,Sunday Jul 14,boxscore,MIA,,NYM,L,2,6,,34-57,5,21.5,deGrom,Alcantara,,3:16,D,14780,--,
92,Tuesday Jul 16,boxscore,MIA,,SDP,W,12,7,,35-57,5,21.0,Yamamoto,Allen,,3:14,N,8151,+,
93,Wednesday Jul 17,boxscore,MIA,,SDP,L,2,3,,35-58,5,21.0,Paddack,Richards,Yates,2:46,N,7818,-,
94,Thursday Jul 18,boxscore,MIA,,SDP,W-wo,4,3,,36-58,5,20.0,Romo,Wingenter,,3:30,D,21149,+,
95,Friday Jul 19,boxscore,MIA,@,LAD,L,1,2,,36-59,5,21.0,Ryu,Gallen,Jansen,3:00,N,52471,-,
96,Saturday Jul 20,boxscore,MIA,@,LAD,L,6,10,,36-60,5,21.0,Baez,Hernandez,,3:27,N,53778,--,
97,Sunday Jul 21,boxscore,MIA,@,LAD,L,0,9,,36-61,5,22.0,Buehler,Yamamoto,,2:41,D,47469,---,
98,Monday Jul 22,boxscore,MIA,@,CHW,L,1,9,,36-62,5,22.5,Nova,Richards,,2:29,N,14741,----,
99,Tuesday Jul 23,boxscore,MIA,@,CHW,W,5,1,,37-62,5,21.5,Smith,Covey,,2:27,N,14043,+,
100,Wednesday Jul 24,boxscore,MIA,@,CHW,W,2,0,,38-62,5,20.5,Gallen,Lopez,Romo,2:38,N,19098,++,
101,Friday Jul 26,boxscore,MIA,,ARI,W-wo,3,2,,39-62,5,20.5,Quijada,Holland,,3:10,N,8867,+++,
102,Saturday Jul 27,boxscore,MIA,,ARI,L,2,9,,39-63,5,21.5,Young,Yamamoto,,2:49,N,13047,-,
103,Sunday Jul 28,boxscore,MIA,,ARI,W,5,1,,40-63,5,20.5,Quijada,Ray,,3:11,D,11538,+,
104,Monday Jul 29,boxscore,MIA,,ARI,W,11,6,,41-63,5,19.5,Smith,Kelly,,2:59,N,7048,++,
105,Tuesday Jul 30,boxscore,MIA,,MIN,L,1,2,,41-64,5,20.5,Odorizzi,Gallen,Rogers,3:11,N,8064,-,
106,Wednesday Jul 31,boxscore,MIA,,MIN,L,4,7,,41-65,5,21.5,Berrios,Alcantara,,2:41,N,8567,--,
107,Thursday Aug 1,boxscore,MIA,,MIN,W-wo,5,4,12,42-65,5,21.5,Brigham,Stashak,,4:14,D,10390,+,
108,Saturday Aug 3,boxscore,MIA,@,TBR,L,6,8,,42-66,5,22.0,Anderson,Garcia,Pagan,3:19,N,14092,-,
109,Sunday Aug 4,boxscore,MIA,@,TBR,L,2,7,,42-67,5,22.0,Chirinos,Smith,,2:53,D,14819,--,
110,Monday Aug 5 (1),boxscore,MIA,@,NYM,L,2,6,,42-68,5,22.5,deGrom,Dugger,,2:51,N,,---,
111,Monday Aug 5 (2),boxscore,MIA,@,NYM,L,4,5,,42-69,5,22.5,Familia,Brigham,Lugo,3:09,N,29645,----,
112,Tuesday Aug 6,boxscore,MIA,@,NYM,L,0,5,,42-70,5,23.5,Wheeler,Noesi,,2:38,N,27479,-----,
113,Wednesday Aug 7,boxscore,MIA,@,NYM,L,2,7,,42-71,5,24.5,Matz,Yamamoto,,2:26,D,26349,------,
114,Thursday Aug 8,boxscore,MIA,,ATL,W,9,2,,43-71,5,23.5,Hernandez,Keuchel,,3:04,N,8948,+,
115,Friday Aug 9,boxscore,MIA,,ATL,L,4,8,,43-72,5,24.5,Teheran,Smith,,3:19,N,8057,-,
116,Saturday Aug 10,boxscore,MIA,,ATL,W-wo,7,6,10,44-72,5,23.5,Brigham,Newcomb,,3:34,N,29720,+,
117,Sunday Aug 11,boxscore,MIA,,ATL,L,4,5,,44-73,5,24.5,Foltynewicz,Noesi,Jackson,3:23,D,12338,-,
118,Tuesday Aug 13,boxscore,MIA,,LAD,L,1,15,,44-74,5,25.5,May,Yamamoto,,3:22,N,8729,--,
119,Wednesday Aug 14,boxscore,MIA,,LAD,L,1,9,,44-75,5,26.5,Kershaw,Hernandez,,2:45,N,8810,---,
120,Thursday Aug 15,boxscore,MIA,,LAD,W,13,7,,45-75,5,25.5,Smith,Buehler,,4:07,D,8471,+,
121,Friday Aug 16,boxscore,MIA,@,COL,L,0,3,,45-76,5,25.5,Gray,Alcantara,Oberg,2:12,N,35018,-,
122,Saturday Aug 17,boxscore,MIA,@,COL,L,4,11,,45-77,5,26.5,Marquez,Noesi,,3:08,N,40199,--,
123,Sunday Aug 18,boxscore,MIA,@,COL,L-wo,6,7,10,45-78,5,27.5,Estevez,Brigham,,3:57,D,38181,---,
124,Tuesday Aug 20,boxscore,MIA,@,ATL,L,1,5,,45-79,5,28.5,Keuchel,Kinley,,3:00,N,21271,----,
125,Wednesday Aug 21,boxscore,MIA,@,ATL,L,0,5,,45-80,5,29.5,Teheran,Smith,,2:44,N,23537,-----,
126,Thursday Aug 22,boxscore,MIA,@,ATL,L-wo,2,3,,45-81,5,30.5,Melancon,Stanek,,2:40,N,23967,------,
127,Friday Aug 23,boxscore,MIA,,PHI,W,19,11,,46-81,5,30.5,Kinley,Pivetta,,4:10,N,9065,+,
128,Saturday Aug 24,boxscore,MIA,,PHI,L,3,9,,46-82,5,31.5,Eflin,Yamamoto,,3:37,N,12981,-,
129,Sunday Aug 25,boxscore,MIA,,PHI,W,3,2,,47-82,5,31.5,Hernandez,Nola,Stanek,2:38,D,9286,+,
130,Monday Aug 26,boxscore,MIA,,CIN,L,3,6,,47-83,5,31.5,Gray,Lopez,,3:03,N,5297,-,
131,Tuesday Aug 27,boxscore,MIA,,CIN,L,5,8,,47-84,5,31.5,Castillo,Smith,Iglesias,3:24,N,6169,--,
132,Wednesday Aug 28,boxscore,MIA,,CIN,L,0,5,,47-85,5,32.5,DeSclafani,Alcantara,,2:41,N,6409,---,
133,Thursday Aug 29,boxscore,MIA,,CIN,W-wo,4,3,12,48-85,5,32.0,Kinley,Iglesias,,3:35,N,6466,+,
134,Friday Aug 30,boxscore,MIA,@,WSN,L-wo,6,7,,48-86,5,33.0,Hudson,Stanek,,3:35,N,26201,-,
135,Saturday Aug 31,boxscore,MIA,@,WSN,L,0,7,,48-87,5,34.0,Strasburg,Lopez,,2:31,N,27539,--,
136,Sunday Sep 1,boxscore,MIA,@,WSN,L,3,9,,48-88,5,35.0,Corbin,Smith,,2:46,D,29345,---,
137,Tuesday Sep 3,boxscore,MIA,@,PIT,W,5,4,10,49-88,5,35.5,Conley,Markel,Urena,3:24,N,9169,+,
138,Wednesday Sep 4,boxscore,MIA,@,PIT,L-wo,5,6,,49-89,5,36.0,Wang,Urena,,2:59,N,9043,-,
139,Thursday Sep 5,boxscore,MIA,@,PIT,W,10,7,,50-89,5,36.0,Moran,Agrazal,,3:38,N,9642,+,
