Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
57,Friday May 31,boxscore,ATL,,DET,L,2,8,,30-27,2,3.0,Turnbull,Foltynewicz,,2:52,N,35524,---,
58,Saturday Jun 1,boxscore,ATL,,DET,W,10,5,,31-27,2,2.0,Soroka,Norris,Jackson,2:51,D,37108,+,
59,Sunday Jun 2,boxscore,ATL,,DET,W,7,4,,32-27,2,1.0,Toussaint,Jimenez,,3:18,D,28978,++,
60,Tuesday Jun 4,boxscore,ATL,@,PIT,W,12,5,,33-27,2,0.5,Winkler,Crick,,3:46,N,13963,+++,
61,Wednesday Jun 5,boxscore,ATL,@,PIT,L,4,7,,33-28,2,1.5,Musgrove,Gausman,,2:48,N,13904,-,
62,Thursday Jun 6,boxscore,ATL,@,PIT,L,1,6,,33-29,2,2.0,Archer,Foltynewicz,Vazquez,2:58,D,18232,--,
63,Friday Jun 7,boxscore,ATL,@,MIA,W,7,1,,34-29,2,2.0,Soroka,Urena,,2:42,N,8589,+,
64,Saturday Jun 8,boxscore,ATL,@,MIA,W,1,0,,35-29,2,2.0,Teheran,Richards,Jackson,2:57,D,9771,++,
65,Sunday Jun 9,boxscore,ATL,@,MIA,W,7,6,12,36-29,2,1.0,Winkler,Conley,Tomlin,4:26,D,10959,+++,
66,Monday Jun 10,boxscore,ATL,,PIT,W,13,7,,37-29,1,Tied,Newcomb,McRae,Webb,3:35,N,21822,++++,
67,Tuesday Jun 11,boxscore,ATL,,PIT,W,7,5,8,38-29,1,Tied,Toussaint,Archer,Swarzak,3:15,N,31305,+++++,
68,Wednesday Jun 12,boxscore,ATL,,PIT,W-wo,8,7,11,39-29,1,up 1.0,Webb,Feliz,,4:17,N,24428,++++++,
69,Thursday Jun 13,boxscore,ATL,,PIT,W,6,5,,40-29,1,up 1.5,Teheran,Musgrove,Jackson,3:30,D,35108,+++++++,
70,Friday Jun 14,boxscore,ATL,,PHI,W-wo,9,8,,41-29,1,up 2.5,Blevins,Neris,,3:30,N,41975,++++++++,
71,Saturday Jun 15,boxscore,ATL,,PHI,L,5,6,,41-30,1,up 1.5,Ramos,Jackson,Neris,3:55,N,43593,-,
72,Sunday Jun 16,boxscore,ATL,,PHI,W,15,1,,42-30,1,up 2.5,Foltynewicz,Velasquez,,3:09,D,40855,+,
73,Monday Jun 17,boxscore,ATL,,NYM,W,12,3,,43-30,1,up 3.0,Soroka,Wheeler,,3:05,N,24660,++,
74,Tuesday Jun 18,boxscore,ATL,,NYM,L,2,10,,43-31,1,up 2.5,deGrom,Teheran,,3:04,N,24971,-,
75,Wednesday Jun 19,boxscore,ATL,,NYM,W,7,2,,44-31,1,up 4.0,Fried,Matz,,3:03,N,37104,+,
76,Friday Jun 21,boxscore,ATL,@,WSN,L,3,4,,44-32,1,up 4.5,Strasburg,Keuchel,Suero,3:01,N,34212,-,
77,Saturday Jun 22,boxscore,ATL,@,WSN,W,13,9,,45-32,1,up 5.5,Minter,Ross,,3:42,N,37492,+,
78,Sunday Jun 23,boxscore,ATL,@,WSN,W,4,3,10,46-32,1,up 6.5,Minter,Rainey,Jackson,3:09,D,34256,++,
79,Monday Jun 24,boxscore,ATL,@,CHC,L,3,8,,46-33,1,up 5.5,Lester,Teheran,,3:01,N,37603,-,
80,Tuesday Jun 25,boxscore,ATL,@,CHC,W,3,2,,47-33,1,up 5.5,Fried,Montgomery,Jackson,2:59,N,37333,+,
81,Wednesday Jun 26,boxscore,ATL,@,CHC,W,5,3,,48-33,1,up 5.5,Keuchel,Darvish,Minter,3:02,N,38017,++,
82,Thursday Jun 27,boxscore,ATL,@,CHC,L,7,9,,48-34,1,up 4.5,Chatwood,Tomlin,Kimbrel,3:02,D,39823,-,
83,Friday Jun 28,boxscore,ATL,@,NYM,W,6,2,,49-34,1,up 5.5,Soroka,deGrom,,2:55,N,36421,+,
84,Saturday Jun 29,boxscore,ATL,@,NYM,W,5,4,,50-34,1,up 6.5,Newcomb,Lugo,Jackson,3:39,D,40809,++,
85,Sunday Jun 30,boxscore,ATL,@,NYM,L,5,8,,50-35,1,up 5.5,Font,Newcomb,Diaz,3:27,N,31743,-,
