Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
142,Friday Sep 6,boxscore,HOU,,SEA,W,7,4,,92-50,1,up 9.5,Smith,Milone,Osuna,3:31,N,33149,++,
143,Saturday Sep 7,boxscore,HOU,,SEA,W,2,1,,93-50,1,up 9.5,Verlander,Adams,Harris,2:56,N,41958,+++,
144,Sunday Sep 8,boxscore,HOU,,SEA,W,21,1,,94-50,1,up 9.5,Cole,Hernandez,,2:50,D,35569,++++,
145,Monday Sep 9,boxscore,HOU,,OAK,W,15,0,,95-50,1,up10.5,Greinke,Fiers,,2:42,N,38289,+++++,
146,Tuesday Sep 10,boxscore,HOU,,OAK,L,7,21,,95-51,1,up 9.5,Roark,Miley,Mengden,3:20,N,32100,-,
147,Wednesday Sep 11,boxscore,HOU,,OAK,L,3,5,,95-52,1,up 8.5,Anderson,James,Hendriks,2:57,N,32938,--,
148,Thursday Sep 12,boxscore,HOU,,OAK,L,2,3,,95-53,1,up 7.5,Bailey,Verlander,Hendriks,3:39,N,34024,---,
149,Friday Sep 13,boxscore,HOU,@,KCR,W,4,1,,96-53,1,up 7.5,Cole,Fillmyer,Osuna,2:58,N,20593,+,
150,Saturday Sep 14,boxscore,HOU,@,KCR,W,6,1,,97-53,1,up 7.5,Greinke,Montgomery,,3:17,N,20716,++,
151,Sunday Sep 15,boxscore,HOU,@,KCR,W,12,3,,98-53,1,up 7.5,Miley,Junis,,3:17,D,17205,+++,
152,Tuesday Sep 17,boxscore,HOU,,TEX,W,4,1,,99-53,1,up 8.0,Verlander,Lynn,Osuna,2:45,N,39650,++++,
153,Wednesday Sep 18,boxscore,HOU,,TEX,W,3,2,,100-53,1,up 8.0,Cole,Allard,Osuna,2:35,N,38417,+++++,
154,Friday Sep 20,boxscore,HOU,,LAA,W,6,4,,101-53,1,up 8.0,Greinke,Barria,Osuna,2:49,N,40106,++++++,
155,Saturday Sep 21,boxscore,HOU,,LAA,L,4,8,,101-54,1,up 7.0,Bard,Miley,,3:23,N,43264,-,
156,Sunday Sep 22,boxscore,HOU,,LAA,W,13,5,,102-54,1,up 8.0,Verlander,Rodriguez,,3:32,D,43169,+,
157,Tuesday Sep 24,boxscore,HOU,@,SEA,W,3,0,,103-54,1,up 9.0,Cole,Milone,Osuna,2:51,N,11262,++,
158,Wednesday Sep 25,boxscore,HOU,@,SEA,W,3,0,,104-54,1,up 9.0,Greinke,Kikuchi,Harris,2:33,N,10921,+++,
159,Thursday Sep 26,boxscore,HOU,@,LAA,L-wo,3,4,12,104-55,1,up 8.0,Cahill,Biagini,,4:32,N,39658,-,
160,Friday Sep 27,boxscore,HOU,@,LAA,W,4,0,,105-55,1,up 9.0,Urquidy,Sandoval,,2:37,N,41763,+,
161,Saturday Sep 28,boxscore,HOU,@,LAA,W,6,3,,106-55,1,up 9.0,Verlander,Bard,Osuna,2:55,N,35814,++,
162,Sunday Sep 29,boxscore,HOU,@,LAA,W,8,5,,107-55,1,up10.0,Cole,Peters,Harris,3:30,D,34693,+++,
