Day of Week,Month,Day,Year,Time,D/N,HomeTeam,Attendance
Friday,May,17,2018,2:59,N,TEX,34398
Saturday,May,18,2018,3:14,D,TEX,30967
Sunday,May,19,2018,3:41,D,TEX,32112
Monday,May,20,2018,2:53,N,TEX,18796
Tuesday,May,21,2018,2:56,N,TEX,19157
Wednesday,May,22,2018,2:27,D,TEX,22400
Thursday,May,30,2018,3:06,N,TEX,26202
Friday,May,31,2018,2:36,N,TEX,31183
Saturday,Jun,1,2018,3:08,D,TEX,27133
Sunday,Jun,2,2018,2:38,D,TEX,21891
Tuesday,Jun,4,2018,3:42,N,TEX,21903
Wednesday,Jun,5,2018,4:18,N,TEX,21163
Thursday,Jun,6,2018,2:29,N,TEX,20462
Friday,Jun,7,2018,3:09,N,TEX,25120
Saturday,Jun,8,2018,3:12,D,TEX,22327
Saturday,Jun,8,2018,2:45,N,TEX,39514
Sunday,Jun,9,2018,3:25,D,TEX,20358
Monday,Jun,17,2018,2:52,N,TEX,20860
Tuesday,Jun,18,2018,3:13,N,TEX,19223
Wednesday,Jun,19,2018,3:17,N,TEX,22906
Thursday,Jun,20,2018,2:35,D,TEX,18531
Friday,Jun,21,2018,3:23,N,TEX,29333
Saturday,Jun,22,2018,3:04,N,TEX,33582
Sunday,Jun,23,2018,3:07,D,TEX,21917
Tuesday,Jul,2,2018,4:12,N,TEX,20931
Wednesday,Jul,3,2018,2:55,N,TEX,28998
Thursday,Jul,4,2018,3:27,N,TEX,45556
Thursday,Jul,11,2018,3:02,N,TEX,37964
Friday,Jul,12,2018,3:07,N,TEX,32322
Saturday,Jul,13,2018,4:09,N,TEX,42452
Sunday,Jul,14,2018,3:40,D,TEX,27916
Tuesday,Jul,16,2018,3:23,N,TEX,19202
Wednesday,Jul,17,2018,3:14,N,TEX,26681
Friday,Jul,19,2018,2:59,N,HOU,42287
Saturday,Jul,20,2018,2:25,N,HOU,41643
Sunday,Jul,21,2018,3:08,D,HOU,37655
Tuesday,Jul,30,2018,3:16,N,TEX,20599
Wednesday,Jul,31,2018,3:26,N,TEX,22539
Friday,Aug,2,2018,2:52,N,TEX,26884
Saturday,Aug,3,2018,3:35,N,TEX,30292
Sunday,Aug,4,2018,3:27,D,TEX,18531
Thursday,Aug,15,2018,3:18,N,TEX,20494
Friday,Aug,16,2018,3:12,N,TEX,24742
Saturday,Aug,17,2018,3:30,N,TEX,30136
Sunday,Aug,18,2018,3:49,D,TEX,18500
Monday,Aug,19,2018,4:35,N,TEX,17326
Tuesday,Aug,20,2018,2:48,D,TEX,17429
Tuesday,Aug,20,2018,3:36,N,TEX,15638
Wednesday,Aug,21,2018,3:46,N,TEX,19565
Thursday,Aug,29,2018,3:09,N,TEX,16591
Friday,Aug,30,2018,2:45,N,TEX,23563
Saturday,Aug,31,2018,2:49,N,TEX,33668
Sunday,Sep,1,2018,3:39,D,TEX,22116
Tuesday,Sep,10,2018,3:45,N,TEX,18467
Wednesday,Sep,11,2018,4:09,N,TEX,19746
Thursday,Sep,12,2018,3:16,N,TEX,18222
Friday,Sep,13,2018,3:28,N,TEX,27813
Saturday,Sep,14,2018,3:47,N,TEX,31928
Sunday,Sep,15,2018,3:10,D,TEX,26064
Tuesday,Sep,17,2018,2:45,N,HOU,39650
Wednesday,Sep,18,2018,2:35,N,HOU,38417
Tuesday,Sep,24,2018,3:59,N,TEX,23341
Wednesday,Sep,25,2018,3:18,N,TEX,29290
Thursday,Sep,26,2018,3:02,D,TEX,24612
Friday,Sep,27,2018,3:37,N,TEX,35168
Saturday,Sep,28,2018,3:17,N,TEX,42870
Sunday,Sep,29,2018,2:47,D,TEX,47144
Thursday,Mar,28,2019,3:07,D,TEX,48538
Saturday,Mar,30,2019,3:47,N,TEX,46238
Sunday,Mar,31,2019,3:46,D,TEX,36812
Monday,Apr,1,2019,2:39,N,TEX,18056
Tuesday,Apr,2,2019,3:23,N,TEX,17907
Wednesday,Apr,3,2019,2:39,N,TEX,22265
Friday,Apr,12,2019,3:16,N,TEX,24817
Sunday,Apr,14,2019,3:05,D,TEX,26350
Monday,Apr,15,2019,3:26,N,TEX,18265
Tuesday,Apr,16,2019,2:31,N,TEX,17704
Wednesday,Apr,17,2019,3:19,N,TEX,16691
Friday,Apr,19,2019,3:16,N,TEX,35649
Saturday,Apr,20,2019,2:51,N,TEX,39636
Sunday,Apr,21,2019,3:16,D,TEX,26225
Tuesday,Apr,30,2019,4:14,N,TEX,18641
Wednesday,May,1,2019,3:10,D,TEX,23562
Friday,May,3,2019,4:00,N,TEX,26179
Saturday,May,4,2019,2:59,N,TEX,31787
Sunday,May,5,2019,2:50,D,TEX,30934
Thursday,May,9,2019,2:58,N,HOU,26657
Friday,May,10,2019,2:29,N,HOU,33023
Saturday,May,11,2019,3:15,N,HOU,35849
Sunday,May,12,2019,3:08,D,HOU,41027
Friday,May,17,2019,2:59,N,TEX,34398
Saturday,May,18,2019,3:14,D,TEX,30967
Sunday,May,19,2019,3:41,D,TEX,32112
Monday,May,20,2019,2:53,N,TEX,18796
Tuesday,May,21,2019,2:56,N,TEX,19157
Wednesday,May,22,2019,2:27,D,TEX,22400
Thursday,May,30,2019,3:06,N,TEX,26202
Friday,May,31,2019,2:36,N,TEX,31183
Saturday,Jun,1,2019,3:08,D,TEX,27133
Sunday,Jun,2,2019,2:38,D,TEX,21891
Tuesday,Jun,4,2019,3:42,N,TEX,21903
Wednesday,Jun,5,2019,4:18,N,TEX,21163
Thursday,Jun,6,2019,2:29,N,TEX,20462
Friday,Jun,7,2019,3:09,N,TEX,25120
Saturday,Jun,8,2019,3:12,D,TEX,22327
Saturday,Jun,8,2019,2:45,N,TEX,39514
Sunday,Jun,9,2019,3:25,D,TEX,20358
Monday,Jun,17,2019,2:52,N,TEX,20860
Tuesday,Jun,18,2019,3:13,N,TEX,19223
Wednesday,Jun,19,2019,3:17,N,TEX,22906
Thursday,Jun,20,2019,2:35,D,TEX,18531
Friday,Jun,21,2019,3:23,N,TEX,29333
Saturday,Jun,22,2019,3:04,N,TEX,33582
Sunday,Jun,23,2019,3:07,D,TEX,21917
Tuesday,Jul,2,2019,4:12,N,TEX,20931
Wednesday,Jul,3,2019,2:55,N,TEX,28998
Thursday,Jul,4,2019,3:27,N,TEX,45556
Thursday,Jul,11,2019,3:02,N,TEX,37964
Friday,Jul,12,2019,3:07,N,TEX,32322
Saturday,Jul,13,2019,4:09,N,TEX,42452
Sunday,Jul,14,2019,3:40,D,TEX,27916
Tuesday,Jul,16,2019,3:23,N,TEX,19202
Wednesday,Jul,17,2019,3:14,N,TEX,26681
Friday,Jul,19,2019,2:59,N,HOU,42287
Saturday,Jul,20,2019,2:25,N,HOU,41643
Sunday,Jul,21,2019,3:08,D,HOU,37655
Tuesday,Jul,30,2019,3:16,N,TEX,20599
Wednesday,Jul,31,2019,3:26,N,TEX,22539
Friday,Aug,2,2019,2:52,N,TEX,26884
Saturday,Aug,3,2019,3:35,N,TEX,30292
