Day of Week,Month,Day,Year,Time,D/N,HomeTeam,Attendance
Friday,Jun,14,2019,2:56,N,MIA,8340
Saturday,Jun,15,2019,2:46,N,MIA,11464
Sunday,Jun,16,2019,3:09,D,MIA,12472
Tuesday,Jun,25,2019,2:27,N,MIA,7327
Wednesday,Jun,26,2019,3:19,N,MIA,6276
Thursday,Jun,27,2019,2:51,N,MIA,7751
Friday,Jun,28,2019,2:56,N,MIA,9469
Saturday,Jun,29,2019,3:19,D,MIA,14774
Sunday,Jun,30,2019,3:36,D,MIA,11742
Friday,Jul,5,2019,3:00,N,ATL,41102
Saturday,Jul,6,2019,3:19,D,ATL,37216
Sunday,Jul,7,2019,3:02,D,ATL,30514
Friday,Jul,12,2019,2:57,N,MIA,11856
Saturday,Jul,13,2019,3:05,N,MIA,12963
Sunday,Jul,14,2019,3:16,D,MIA,14780
Tuesday,Jul,16,2019,3:14,N,MIA,8151
Wednesday,Jul,17,2019,2:46,N,MIA,7818
Thursday,Jul,18,2019,3:30,D,MIA,21149
Friday,Jul,26,2019,3:10,N,MIA,8867
Saturday,Jul,27,2019,2:49,N,MIA,13047
Sunday,Jul,28,2019,3:11,D,MIA,11538
Monday,Jul,29,2019,2:59,N,MIA,7048
Tuesday,Jul,30,2019,3:11,N,MIA,8064
Wednesday,Jul,31,2019,2:41,N,MIA,8567
Thursday,Aug,1,2019,4:14,D,MIA,10390
Thursday,Aug,8,2019,3:04,N,MIA,8948
Friday,Aug,9,2019,3:19,N,MIA,8057
Saturday,Aug,10,2019,3:34,N,MIA,29720
Sunday,Aug,11,2019,3:23,D,MIA,12338
Tuesday,Aug,13,2019,3:22,N,MIA,8729
Wednesday,Aug,14,2019,2:45,N,MIA,8810
Thursday,Aug,15,2019,4:07,D,MIA,8471
Tuesday,Aug,20,2019,3:00,N,ATL,21271
Wednesday,Aug,21,2019,2:44,N,ATL,23537
Thursday,Aug,22,2019,2:40,N,ATL,23967
Friday,Aug,23,2019,4:10,N,MIA,9065
Saturday,Aug,24,2019,3:37,N,MIA,12981
Sunday,Aug,25,2019,2:38,D,MIA,9286
Monday,Aug,26,2019,3:03,N,MIA,5297
Tuesday,Aug,27,2019,3:24,N,MIA,6169
Wednesday,Aug,28,2019,2:41,N,MIA,6409
Thursday,Aug,29,2019,3:35,N,MIA,6466
Friday,Sep,6,2019,2:52,N,MIA,8915
Saturday,Sep,7,2019,3:24,N,MIA,13112
Sunday,Sep,8,2019,2:40,D,MIA,10934
Monday,Sep,9,2019,4:08,N,MIA,6672
Tuesday,Sep,10,2019,3:20,N,MIA,7215
Wednesday,Sep,11,2019,3:02,N,MIA,7815
Thursday,Sep,12,2019,2:59,D,MIA,7375
Friday,Sep,20,2019,3:13,N,MIA,12775
Saturday,Sep,21,2019,4:20,N,MIA,18085
Sunday,Sep,22,2019,3:13,D,MIA,19709
